start;end;duration;event
2022-07-01 09:30:00;2022-07-01 10:00:00;0,5;Reserva - Checkpoint - PoC - Alelo
2022-07-01 10:00:00;2022-07-01 11:00:00;1,0;Alelo - Agenda 2 (continuação) - Demo - Alertas
2022-07-01 10:30:00;2022-07-01 12:00:00;1,5;Solution Tech Meetings
2022-07-01 12:00:00;2022-07-01 13:00:00;1,0;Out of office - Lunch Time
2022-07-01 14:00:00;2022-07-01 16:30:00;2,5;Preparação de Demo - Automação
2022-07-02 09:30:00;2022-07-02 10:00:00;0,5;Reserva - Checkpoint - PoC - Alelo
2022-07-03 03:15:00;2022-07-03 04:15:00;1,0;[GCB Investimentos- Reserva 3] 1a Agenda Pós APIX
2022-07-03 09:30:00;2022-07-03 10:00:00;0,5;Reserva - Checkpoint - PoC - Alelo
2022-07-04 08:45:00;2022-07-04 09:15:00;0,5;Daily | Solutions Team
2022-07-04 09:00:00;2022-07-04 10:00:00;1,0;Review de Closing dates
2022-07-04 09:30:00;2022-07-04 10:00:00;0,5;Reserva - Checkpoint - PoC - Alelo
2022-07-04 11:00:00;2022-07-04 11:45:00;0,75;[CRDC] Alinhamento do Contrato
2022-07-04 12:00:00;2022-07-04 13:00:00;1,0;Out of office - Lunch Time
2022-07-04 15:00:00;2022-07-04 16:00:00;1,0;Sinqia (RecargaPay) Open Banking
2022-07-04 15:00:00;2022-07-04 16:00:00;1,0;✊🏿 TALK PertenSER: Dia Nacional de Combate à Discriminação Racial
2022-07-04 16:00:00;2022-07-04 17:00:00;1,0;Reserva - Demo Avançada - Alelo
2022-07-05 08:45:00;2022-07-05 09:15:00;0,5;Daily | Solutions Team
2022-07-05 09:15:00;2022-07-05 09:45:00;0,5;Reserva Alelo - Arquitetura/DX
2022-07-05 09:30:00;2022-07-05 10:00:00;0,5;Reserva - Checkpoint - PoC - Alelo
2022-07-05 10:30:00;2022-07-05 11:00:00;0,5;Alinhamento Business Case- Light e Crefisa
2022-07-05 11:00:00;2022-07-05 12:00:00;1,0;[Pag Seguro] Sensedia - Open Banking 
2022-07-05 12:00:00;2022-07-05 13:00:00;1,0;Out of office - Lunch Time
2022-07-05 12:15:00;2022-07-05 13:15:00;1,0;English Class - Fluentia
2022-07-05 13:30:00;2022-07-05 14:00:00;0,5;[Sensedia <> Wefin] Billing
2022-07-05 14:00:00;2022-07-05 14:30:00;0,5;Projeto Digio | Revisão OB
2022-07-05 16:00:00;2022-07-05 17:30:00;1,5;Reserva - Demo & Care - Alelo
2022-07-05 16:00:00;2022-07-05 17:00:00;1,0;Reserva - Alelo - Demo Cenários PoC
2022-07-06 08:00:00;2022-07-06 09:45:00;1,75;Acompanhamento - Medico - Esposa
2022-07-06 08:45:00;2022-07-06 09:15:00;0,5;Daily | Solutions Team
2022-07-06 09:30:00;2022-07-06 10:00:00;0,5;Reserva - Checkpoint - PoC - Alelo
2022-07-06 10:00:00;2022-07-06 11:00:00;1,0;Sensedia - Total Express
2022-07-06 11:00:00;2022-07-06 11:45:00;0,75;Open Finance Strat Sync
2022-07-06 12:00:00;2022-07-06 13:00:00;1,0;Out of office - Lunch Time
2022-07-06 14:00:00;2022-07-06 15:00:00;1,0;SAVE THE DATE - Festa Julina | July Party 🔥🤠
2022-07-06 16:00:00;2022-07-06 17:00:00;1,0;Reserva- Alelo - PMs
2022-07-07 08:45:00;2022-07-07 09:15:00;0,5;Daily | Solutions Team
2022-07-07 09:00:00;2022-07-07 10:00:00;1,0;[GCB Investimentos] Sensedia API Management
2022-07-07 11:00:00;2022-07-07 12:00:00;1,0;[Open Finance] Tribo - Acompanhamento semanal
2022-07-07 12:00:00;2022-07-07 13:00:00;1,0;Out of office - Lunch Time
2022-07-07 12:15:00;2022-07-07 13:15:00;1,0;English Class - Fluentia
2022-07-07 13:30:00;2022-07-07 14:00:00;0,5;rec: OPBR Updates
2022-07-07 15:00:00;2022-07-07 16:30:00;1,5;Reunião N26 e Sinqia/Sensedia
2022-07-07 16:00:00;2022-07-07 20:00:00;4,0;Form Alelo > Alelo
2022-07-07 17:30:00;2022-07-07 18:00:00;0,5;rec: Imersão LATAM em Open Banking BR
2022-07-08 09:00:00;2022-07-08 10:00:00;1,0;WGO Vibrant Culture
2022-07-08 10:00:00;2022-07-08 12:00:00;2,0;BR Sales - Alinhamento Semanal
2022-07-08 10:30:00;2022-07-08 12:00:00;1,5;Solution Tech Meetings
2022-07-08 11:00:00;2022-07-08 12:00:00;1,0;Pauta Sensedia Open Banking Day
2022-07-08 12:00:00;2022-07-08 13:00:00;1,0;Out of office - Lunch Time
2022-07-08 13:30:00;2022-07-08 14:00:00;0,5;Limpeza Ambientes
2022-07-08 13:30:00;2022-07-08 14:00:00;0,5;Score card
2022-07-08 14:00:00;2022-07-08 15:00:00;1,0;Save The Date: WE HEAR YOU
2022-07-08 14:00:00;2022-07-08 15:00:00;1,0;Case Fintech South by Torqueto e Devs
2022-07-08 16:00:00;2022-07-08 17:35:00;1,5833333333333333;Sensedia Parte 2 - Demo
2022-07-08 17:00:00;2022-07-08 18:30:00;1,5;Solutions Celebration
2022-07-08 17:00:00;2022-07-08 18:00:00;1,0;Solutions Month Review
2022-07-11 08:45:00;2022-07-11 09:15:00;0,5;Daily | Solutions Team
2022-07-11 09:00:00;2022-07-11 10:00:00;1,0;Review de Closing dates
2022-07-11 11:00:00;2022-07-11 12:00:00;1,0;Metrosp + Sensedia
2022-07-11 12:00:00;2022-07-11 13:00:00;1,0;Out of office - Lunch Time
2022-07-11 13:20:00;2022-07-11 14:05:00;0,75;Solutions Workshop Review 
2022-07-11 14:15:00;2022-07-11 15:00:00;0,75;Mkt&Sales - Mkt e Growth refresh
2022-07-11 15:00:00;2022-07-11 15:30:00;0,5;Gabriel / Flavio Nunes - KebHanna
2022-07-11 18:00:00;2022-07-11 18:30:00;0,5;Sensedia - block
2022-07-11 18:00:00;2022-07-11 18:30:00;0,5;Novo link
2022-07-12 08:45:00;2022-07-12 09:15:00;0,5;Daily | Solutions Team
2022-07-12 10:00:00;2022-07-12 11:00:00;1,0;Grupo Mater-  Proposta Comercial
2022-07-12 11:00:00;2022-07-12 11:30:00;0,5;Flavio / Renan
2022-07-12 12:00:00;2022-07-12 13:00:00;1,0;Out of office - Lunch Time
2022-07-12 12:15:00;2022-07-12 13:15:00;1,0;English Class - Fluentia
2022-07-12 14:30:00;2022-07-12 15:30:00;1,0;Product Feedback Meeting From Sales/Solutions
2022-07-12 14:30:00;2022-07-12 15:00:00;0,5;[Sheila + Denise + Thiago] - Weekly 
2022-07-12 15:30:00;2022-07-12 16:00:00;0,5;Bate-papo o uso do CLI
2022-07-12 16:00:00;2022-07-12 16:30:00;0,5;Reserva - Lucas Moreira / Flavio Nunes - EventsHub
2022-07-12 17:00:00;2022-07-12 18:00:00;1,0;Conversa | Mbolsa + Sensedia
