start_date;end_date;duration;event
2022-08-01 08:45:00;2022-08-01 09:15:00;0.5;Daily | Solutions Team
2022-08-01 09:00:00;2022-08-01 11:30:00;2.5;GoTo Webinar - Revisão do exame de certificação: AWS Certified Solutions Architect - Associate
2022-08-01 09:00:00;2022-08-01 10:00:00;1.0;Review de Closing dates
2022-08-01 11:45:00;2022-08-01 12:00:00;0.25;1:1 Weekly - Roberta Prado / Flavio Nunes
2022-08-01 12:00:00;2022-08-01 13:00:00;1.0;Out of office - Lunch Time
2022-08-01 13:15:00;2022-08-01 14:00:00;0.75;Agibank POC
2022-08-01 15:00:00;2022-08-01 15:30:00;0.5;[CPqD] Interno - Planos Flexíveis e WebSocket
2022-08-01 17:00:00;2022-08-01 17:30:00;0.5;Proposta Cardif
2022-08-02 08:45:00;2022-08-02 09:15:00;0.5;Daily | Solutions Team
2022-08-02 09:00:00;2022-08-02 11:00:00;2.0;Focus Time - PT Espaço Laser e Visão de Governance para CRDC
2022-08-02 11:00:00;2022-08-02 12:00:00;1.0;Flavio / Renan
2022-08-02 12:00:00;2022-08-02 13:00:00;1.0;Out of office - Lunch Time
2022-08-02 12:15:00;2022-08-02 13:15:00;1.0;English Class - Fluentia
2022-08-02 14:00:00;2022-08-02 14:30:00;0.5;PoC AgiBank - Alinhamento Inicial
2022-08-02 14:30:00;2022-08-02 15:00:00;0.5;[Sheila + Denise + Thiago] - Weekly 
2022-08-02 16:00:00;2022-08-02 16:45:00;0.75;[Keb Hana] Apresentação Proposta de Consultoria
2022-08-02 17:00:00;2022-08-02 18:00:00;1.0;Focus time
2022-08-03 08:45:00;2022-08-03 09:15:00;0.5;Daily | Solutions Team
2022-08-03 10:00:00;2022-08-03 11:00:00;1.0;Sensedia API Platform + Vibra Energia
2022-08-03 12:00:00;2022-08-03 13:00:00;1.0;Out of office - Lunch Time
2022-08-03 13:30:00;2022-08-03 14:00:00;0.5;Apontamento de horas
2022-08-03 14:00:00;2022-08-03 14:45:00;0.75;Flavio Nunes / Renan
2022-08-03 15:00:00;2022-08-03 15:30:00;0.5;1:1 Flavio Nunes / Rafael
2022-08-03 16:00:00;2022-08-03 17:30:00;1.5;Demonstração - Sensedia API Platform
2022-08-03 17:00:00;2022-08-03 17:45:00;0.75;[PagSeguro] Vamos falar sobre Sensedia Day?
2022-08-03 18:00:00;2022-08-03 18:30:00;0.5;Genial:: Apresentação Proposta Sensedia
2022-08-04 00:00:00;2022-08-05 00:00:00;24.0;Out of office - AWS
2022-08-04 08:45:00;2022-08-04 09:15:00;0.5;Daily | Solutions Team
2022-08-04 10:00:00;2022-08-04 11:00:00;1.0;Alinhamento RH Franquias
2022-08-04 11:00:00;2022-08-04 12:00:00;1.0;[Open Finance] Tribo - Acompanhamento semanal
2022-08-04 12:00:00;2022-08-04 13:00:00;1.0;Out of office - Lunch Time
2022-08-04 12:15:00;2022-08-04 13:15:00;1.0;English Class - Fluentia
2022-08-04 13:30:00;2022-08-04 14:00:00;0.5;rec: OPBR Updates
2022-08-04 14:00:00;2022-08-04 15:00:00;1.0;Learning Week | Leandro Barankiewicz: Inovação & Experiência
2022-08-04 17:30:00;2022-08-04 18:00:00;0.5;Salinor::Apresentação proposta técnica e comercial Sensedia
2022-08-05 09:00:00;2022-08-05 10:00:00;1.0;Reserva Demonstração Plataforma + Cases
2022-08-05 09:00:00;2022-08-05 10:30:00;1.5;[STM] - New Consulting Offer by Torqueto
2022-08-05 10:00:00;2022-08-05 11:00:00;1.0;[CRDC] Adaptive Governance
2022-08-05 11:00:00;2022-08-05 12:00:00;1.0;WGO Vibrant Culture
2022-08-05 12:00:00;2022-08-05 13:00:00;1.0;Out of office - Lunch Time
2022-08-05 13:30:00;2022-08-05 14:30:00;1.0;[SCI] - CLI Ops by Flavio
2022-08-05 14:30:00;2022-08-05 15:30:00;1.0;Encontro com o Time de Solutions
2022-08-05 16:00:00;2022-08-05 17:00:00;1.0;Solutions Month Review
2022-08-08 08:45:00;2022-08-08 09:15:00;0.5;Daily | Solutions Team
2022-08-08 09:00:00;2022-08-08 10:00:00;1.0;Review de Closing dates
2022-08-08 09:30:00;2022-08-08 10:00:00;0.5;Alinhamentos Agibanck
2022-08-08 10:00:00;2022-08-08 11:00:00;1.0;Kiickoff interno Agibank
2022-08-08 11:45:00;2022-08-08 12:00:00;0.25;1:1 Weekly - Roberta Prado / Flavio Nunes
2022-08-08 12:00:00;2022-08-08 13:00:00;1.0;Out of office - Lunch Time
2022-08-08 13:00:00;2022-08-08 14:00:00;1.0;Open Finance: para além do Bacen!
2022-08-08 14:00:00;2022-08-08 15:00:00;1.0;DEMO Sensedia - Vibra Energia
2022-08-08 15:00:00;2022-08-08 16:00:00;1.0;Weekly - Business Unit - Finance & Oil and Gas - Utilities
2022-08-08 16:00:00;2022-08-08 16:15:00;0.25;Demo OB
2022-08-09 00:00:00;2022-08-10 00:00:00;24.0;CIAB - Dia 1
2022-08-09 08:45:00;2022-08-09 09:15:00;0.5;Daily | Solutions Team
2022-08-09 09:30:00;2022-08-09 10:00:00;0.5;[Sheila + Denise + Thiago] - Weekly 
2022-08-09 11:00:00;2022-08-09 12:00:00;1.0;Flavio / Renan
2022-08-09 12:00:00;2022-08-09 13:00:00;1.0;Out of office - Lunch Time
2022-08-09 12:15:00;2022-08-09 13:15:00;1.0;English Class - Fluentia
2022-08-09 14:30:00;2022-08-09 15:30:00;1.0;Product Feedback Meeting From Sales/Solutions
2022-08-09 17:00:00;2022-08-09 18:00:00;1.0;Kiickoff Agibank
2022-08-10 00:00:00;2022-08-11 00:00:00;24.0;CIAB - Dia 2
2022-08-10 08:45:00;2022-08-10 09:15:00;0.5;Daily | Solutions Team
2022-08-10 12:00:00;2022-08-10 13:00:00;1.0;Out of office - Lunch Time
2022-08-10 13:00:00;2022-08-10 14:00:00;1.0;[Reserva] Poc Agibank | Configuração VPC Peering
2022-08-10 15:00:00;2022-08-10 15:30:00;0.5;1:1 Flavio Nunes / Rafael
2022-08-11 00:00:00;2022-08-12 00:00:00;24.0;CIAB - Dia 3
2022-08-11 08:45:00;2022-08-11 09:15:00;0.5;Daily | Solutions Team
2022-08-11 11:00:00;2022-08-11 12:00:00;1.0;[Open Finance] Tribo - Acompanhamento semanal
2022-08-11 12:00:00;2022-08-11 13:00:00;1.0;Out of office - Lunch Time
2022-08-11 12:15:00;2022-08-11 13:15:00;1.0;English Class - Fluentia
2022-08-11 13:30:00;2022-08-11 14:00:00;0.5;rec: OPBR Updates
2022-08-12 09:30:00;2022-08-12 10:00:00;0.5;Flavio Nunes / Renan
2022-08-12 11:00:00;2022-08-12 12:00:00;1.0;WGO Global Reach
2022-08-12 12:00:00;2022-08-12 13:00:00;1.0;Out of office - Lunch Time
2022-08-12 14:00:00;2022-08-12 15:00:00;1.0;Solution Tech Meetings | Mayra | Cenário atual de Finance em Latam
2022-08-12 15:00:00;2022-08-12 16:00:00;1.0;Poc Agibank | Requisitos Funcionas
2022-08-15 08:45:00;2022-08-15 09:15:00;0.5;Daily | Solutions Team
2022-08-15 09:00:00;2022-08-15 10:00:00;1.0;Review de Closing dates
2022-08-15 12:00:00;2022-08-15 13:00:00;1.0;Out of office - Lunch Time
2022-08-15 13:30:00;2022-08-15 14:30:00;1.0;PoC Agibank | Introspecção de Tokens
2022-08-15 14:00:00;2022-08-15 15:00:00;1.0; Proposta Técnica&Comercial Sensedia<>Ocyan
2022-08-15 16:00:00;2022-08-15 17:30:00;1.5;Reunião Cogna/MEC - NFT e BlockChain
2022-08-15 16:30:00;2022-08-15 17:30:00;1.0;Sensedia & Genial (OB)
2022-08-15 17:00:00;2022-08-15 18:00:00;1.0;Digio <> Sensedia
2022-08-15 17:30:00;2022-08-15 17:45:00;0.25;1:1 Weekly - Roberta Prado / Flavio Nunes
2022-08-16 08:45:00;2022-08-16 09:15:00;0.5;Daily | Solutions Team
2022-08-16 09:30:00;2022-08-16 10:00:00;0.5;[Sheila + Denise + Thiago] - Weekly 
2022-08-16 10:00:00;2022-08-16 12:00:00;2.0;Deslocamento Almoço Digio
2022-08-16 11:00:00;2022-08-16 12:00:00;1.0;Weekly - Business Unit - Finance & Oil and Gas - Utilities
2022-08-16 11:00:00;2022-08-16 12:00:00;1.0;Flavio / Renan
2022-08-16 11:45:00;2022-08-16 13:30:00;1.75;Almoço Alelo <> Sensedia
2022-08-16 12:00:00;2022-08-16 13:00:00;1.0;Out of office - Lunch Time
2022-08-16 12:15:00;2022-08-16 13:15:00;1.0;English Class - Fluentia
2022-08-16 13:30:00;2022-08-16 14:00:00;0.5;Ambiente Mesh
2022-08-16 14:00:00;2022-08-16 15:00:00;1.0;Deslocamento Retorno Almoço Digio
2022-08-16 16:00:00;2022-08-16 17:00:00;1.0;apresentação Sensedia - V.tal
2022-08-16 16:00:00;2022-08-16 17:00:00;1.0;[OPIN] - Solutions 
2022-08-16 17:30:00;2022-08-16 18:30:00;1.0;[INTERNA] Cogna/MEC
2022-08-17 08:45:00;2022-08-17 09:15:00;0.5;Daily | Solutions Team
2022-08-17 09:00:00;2022-08-17 10:00:00;1.0;Chicago Advisory - Análise Sensedia API Platform MVP Plugin
2022-08-17 10:00:00;2022-08-17 11:00:00;1.0;PoC Agibank | Arquitetura & Produtos
2022-08-17 11:00:00;2022-08-17 11:45:00;0.75;Open Finance Strat Sync
2022-08-17 12:00:00;2022-08-17 13:00:00;1.0;Out of office - Lunch Time
2022-08-17 14:00:00;2022-08-17 15:00:00;1.0;Save The Date- Well Being: Saúde Emocional 💜🧠
2022-08-17 14:00:00;2022-08-17 15:00:00;1.0;Apresentação da Plataforma de API´s / Microserviços e Cases
2022-08-17 15:00:00;2022-08-17 15:45:00;0.75;[PAGSEGURO] Assessment - API Cheking Account
2022-08-17 15:00:00;2022-08-17 15:30:00;0.5;1:1 Flavio Nunes / Rafael
2022-08-17 15:30:00;2022-08-17 16:30:00;1.0;PoC Agibank | CLI 
2022-08-17 16:00:00;2022-08-17 17:00:00;1.0;[OPIN] - Solutions 
2022-08-18 08:45:00;2022-08-18 09:15:00;0.5;Daily | Solutions Team
2022-08-18 09:00:00;2022-08-18 10:00:00;1.0;Sensedia + Iharabras
2022-08-18 10:00:00;2022-08-18 11:00:00;1.0;Flavio Nunes / Renan
2022-08-18 11:00:00;2022-08-18 12:00:00;1.0;Conversa | Commcenter + Sensedia
2022-08-18 11:00:00;2022-08-18 12:00:00;1.0;[Open Finance] Tribo - Acompanhamento semanal
2022-08-18 12:00:00;2022-08-18 13:00:00;1.0;Out of office - Lunch Time
2022-08-18 12:15:00;2022-08-18 13:15:00;1.0;English Class - Fluentia
2022-08-18 13:30:00;2022-08-18 14:00:00;0.5;rec: OPBR Updates
2022-08-18 14:00:00;2022-08-18 14:30:00;0.5;AgiBank - Evidências dos Recursos Apresentados na PoC -  Construção do Report para Finalização da PoC
2022-08-18 14:30:00;2022-08-18 15:00:00;0.5;[PagSeguro] Ambiente Extra
2022-08-18 15:00:00;2022-08-18 15:30:00;0.5;Alinhamento
2022-08-18 15:00:00;2022-08-18 15:45:00;0.75;ZeroOps Application Delivery on K8s
2022-08-18 16:00:00;2022-08-18 16:30:00;0.5;[OPIN] - Solutions 
2022-08-18 16:00:00;2022-08-18 17:00:00;1.0;PoC Agibank | DEV Portal
2022-08-19 11:00:00;2022-08-19 12:00:00;1.0;WGO Grow and Thrive
2022-08-19 12:00:00;2022-08-19 13:00:00;1.0;Out of office - Lunch Time
2022-08-19 14:00:00;2022-08-19 15:00:00;1.0;Protótipo iPaaS by PE
2022-08-19 15:00:00;2022-08-19 17:00:00;2.0;Mesa Redonda - iPaaS & Middleware
2022-08-19 15:00:00;2022-08-19 16:00:00;1.0;Business Case- Crefisa
2022-08-19 16:00:00;2022-08-19 17:00:00;1.0;Open Finance: Sensedia
2022-08-22 08:45:00;2022-08-22 09:15:00;0.5;Daily | Solutions Team
2022-08-22 10:00:00;2022-08-22 11:00:00;1.0;Weekly - Business Unit - Finance & Oil and Gas - Utilities
2022-08-22 11:45:00;2022-08-22 12:00:00;0.25;1:1 Weekly - Roberta Prado / Flavio Nunes
2022-08-22 12:00:00;2022-08-22 13:00:00;1.0;Out of office - Lunch Time
2022-08-22 14:00:00;2022-08-22 14:15:00;0.25;Alinhamentos Torre Finance Solutions
2022-08-23 08:45:00;2022-08-23 09:15:00;0.5;Daily | Solutions Team
2022-08-23 10:00:00;2022-08-23 11:30:00;1.5;Demo - Commcenter
2022-08-23 10:00:00;2022-08-23 11:30:00;1.5;DEMO - Commcenter
2022-08-23 11:00:00;2022-08-23 11:30:00;0.5;[PAGSEGURO] Recorrencia semanal.
2022-08-23 11:30:00;2022-08-23 12:00:00;0.5;Apresentação Demo OB
2022-08-23 12:00:00;2022-08-23 13:00:00;1.0;Out of office - Lunch Time
2022-08-23 12:15:00;2022-08-23 13:15:00;1.0;English Class - Fluentia
2022-08-23 14:00:00;2022-08-23 14:30:00;0.5;Flavio / Renan
2022-08-23 14:30:00;2022-08-23 15:30:00;1.0;Product Feedback Meeting From Sales/Solutions
2022-08-23 15:30:00;2022-08-23 16:00:00;0.5;[Sheila + Denise + Thiago] - Weekly
2022-08-23 16:00:00;2022-08-23 17:00:00;1.0;Tech Partnership Landscape
2022-08-23 16:00:00;2022-08-23 17:00:00;1.0;[OPIN] - Solutions - DEMO
2022-08-23 17:30:00;2022-08-23 18:00:00;0.5;AgiBank - Execução de Bypass de OAuth
2022-08-23 18:00:00;2022-08-23 18:30:00;0.5;PoC Agibank | Apresentação de Resultados
2022-08-24 08:45:00;2022-08-24 09:15:00;0.5;Daily | Solutions Team
2022-08-24 09:00:00;2022-08-24 09:45:00;0.75;Alinhamento Preço - Proposta RH Franquias
2022-08-24 09:45:00;2022-08-24 10:45:00;1.0;[FEBRABAN TECH] Safepag + Sensedia
2022-08-24 11:00:00;2022-08-24 11:45:00;0.75;Open Finance Strat Sync
2022-08-24 12:00:00;2022-08-24 13:00:00;1.0;Out of office - Lunch Time
2022-08-24 13:00:00;2022-08-24 14:00:00;1.0;Dentista
2022-08-24 14:00:00;2022-08-24 15:00:00;1.0; 🗣️ TALK: "Conheça a nova Arquitetura de Marca dos produtos Sensedia" 
2022-08-24 15:00:00;2022-08-24 16:00:00;1.0;Conversa | CNseg + Sensedia
2022-08-24 15:00:00;2022-08-24 15:30:00;0.5;1:1 Flavio Nunes / Rafael
2022-08-24 16:00:00;2022-08-24 17:00:00;1.0;Alinhamento RH Franquias
2022-08-24 17:00:00;2022-08-24 17:30:00;0.5;Solutions Workshop
2022-08-24 17:30:00;2022-08-24 18:30:00;1.0;[Travelex] PT Projeto Facilitadores
2022-08-25 08:30:00;2022-08-25 09:00:00;0.5;Ginástica Laboral - Wellbeing
2022-08-25 08:45:00;2022-08-25 09:15:00;0.5;Daily | Solutions Team
2022-08-25 09:15:00;2022-08-25 10:00:00;0.75;Alinhamento OPPs
2022-08-25 10:00:00;2022-08-25 11:00:00;1.0;Business Case Light
2022-08-25 11:00:00;2022-08-25 12:00:00;1.0;[Open Finance] Tribo - Acompanhamento semanal
2022-08-25 12:00:00;2022-08-25 13:00:00;1.0;Out of office - Lunch Time
2022-08-25 12:15:00;2022-08-25 13:15:00;1.0;English Class - Fluentia
2022-08-25 13:30:00;2022-08-25 14:00:00;0.5;rec: OPBR Updates
2022-08-25 14:00:00;2022-08-25 16:00:00;2.0;Visita Sensedia > Banco Original
2022-08-25 17:00:00;2022-08-25 18:30:00;1.5;Apresentação DEMO - V.tal
2022-08-26 08:30:00;2022-08-26 09:00:00;0.5;Apresentação SOAP
2022-08-26 09:00:00;2022-08-26 10:00:00;1.0;OpenFinance F. E.
2022-08-26 09:00:00;2022-08-26 11:00:00;2.0;BR Sales - Alinhamento Semanal
2022-08-26 10:00:00;2022-08-26 11:00:00;1.0; Demo pt 2 - CPFL
2022-08-26 11:00:00;2022-08-26 12:00:00;1.0;WGO Amazing Solutions
2022-08-26 12:00:00;2022-08-26 13:00:00;1.0;Out of office - Lunch Time
2022-08-26 13:30:00;2022-08-26 14:00:00;0.5;[Travelex] Apresentação da Proposta - Projeto Facilitadoras
2022-08-26 14:00:00;2022-08-26 15:00:00;1.0;[Weekly Técnico Pré-Sales]
2022-08-26 14:05:00;2022-08-26 15:00:00;0.9166666666666666;[Product Upstream] Plataforma de Coleta de Métricas - PCM
2022-08-29 08:00:00;2022-08-29 18:00:00;10.0;RESERVA: Treinamento BR Sales em CPS - Fase 2
2022-08-29 08:45:00;2022-08-29 09:15:00;0.5;Daily | Solutions Team
2022-08-29 09:15:00;2022-08-29 12:15:00;3.0;Treinamento Solutions - Casos de Uso 
2022-08-29 11:45:00;2022-08-29 12:00:00;0.25;1:1 Weekly - Roberta Prado / Flavio Nunes
2022-08-29 12:00:00;2022-08-29 13:00:00;1.0;Out of office - Lunch Time
2022-08-29 16:30:00;2022-08-29 17:00:00;0.5;Criação de conteúdo
2022-08-30 08:00:00;2022-08-30 18:00:00;10.0;RESERVA: Treinamento BR Sales em CPS - Fase 2
